labels,category
198,CC7
199,FalsePositive
200,CC6
201,FalsePositive
202,Unclassified
203,FalsePositive
204,FalsePositive
205,Unclassified
206,FalsePositive
207,Partial
208,FalsePositive
209,Unclassified
210,FalsePositive
211,FalsePositive
212,CC6
213,MdLF
214,TP
215,FalsePositive
216,CC6
217,Partial
218,FalsePositive
219,CC6
220,MdLF
221,FalsePositive
222,TP
223,CC6
224,FalsePositive
225,CC6
226,CC7
227,TP
228,CC7
229,FalsePositive
230,FalsePositive
231,CC7
232,CC7
233,TO
234,FalsePositive
235,Unclassified
236,FalsePositive
237,FalsePositive
238,FalsePositive
239,CC7
240,FalsePositive
241,FalsePositive
242,FalsePositive
243,CC7
244,FalsePositive
245,FalsePositive
246,TO
247,Partial
248,FalsePositive
249,FalsePositive
250,Unclassified
251,FalsePositive
252,Intra-CBLM-I-P
253,MCP
254,MCP
255,ILF
256,FalsePositive
257,FalsePositive
258,MCP
259,FalsePositive
260,FalsePositive
261,FalsePositive
262,FalsePositive
263,FalsePositive
264,FalsePositive
265,FalsePositive
266,FalsePositive
267,ICP
268,FalsePositive
269,ILF
270,FalsePositive
271,ICP
272,FalsePositive
273,FalsePositive
274,FalsePositive
275,FalsePositive
276,Partial
277,ILF
278,CR-P
279,ILF
280,ILF
281,FalsePositive
282,CB
283,FalsePositive
284,Partial
285,Partial
286,FalsePositive
287,CPC
288,Partial
289,CR-P
290,FalsePositive
291,Partial
292,ILF
293,FalsePositive
294,Partial
295,FalsePositive
296,Partial
297,Partial
298,ILF
299,FalsePositive
300,CPC
301,Partial
302,FalsePositive
303,FalsePositive
304,CC6
305,ILF
306,Unclassified
307,ILF
308,Unclassified
309,AF
310,AF
311,AF
312,CR-F
313,CST
314,SLF-II
315,Unclassified
316,AF
317,Partial
318,SLF-II
319,Partial
320,Partial
321,AF
322,Partial
323,FalsePositive
324,TF
325,FalsePositive
326,AF
327,SLF-II
328,SLF-II
329,Partial
330,TF
331,Partial
332,Unclassified
333,TP
334,CST
335,Partial
336,TF
337,Unclassified
338,Partial
339,Partial
340,Unclassified
341,Partial
342,FalsePositive
343,Partial
344,AF
345,Unclassified
346,Partial
347,SLF-III
348,SLF-II
349,TF
350,SLF-III
351,Partial
352,Partial
353,Unclassified
354,SLF-II
355,Unclassified
356,SLF-II
357,SLF-III
358,Unclassified
359,SF
360,TF
361,Partial
362,Partial
363,Unclassified
364,Unclassified
365,SLF-III
366,Unclassified
367,Unclassified
368,Partial
369,Unclassified
370,Partial
371,SLF-II
372,SF
373,CST
374,Unclassified
375,Unclassified
376,SLF-I
377,Unclassified
378,FalsePositive
379,SLF-III
380,Partial
381,Partial
382,Partial
383,SLF-I
384,CC4
385,CC2
386,CC3
387,SLF-I
388,FalsePositive
389,TF
390,Partial
391,CC4
392,FalsePositive
393,CC3
394,CC3
395,FalsePositive
396,SLF-II
397,FalsePositive
398,CC4
399,Unclassified
400,SLF-I
401,CC4
402,TF
403,FalsePositive
404,CB
405,FalsePositive
406,SLF-I
407,CB
408,SLF-II
409,CB
410,FalsePositive
411,Partial
412,Unclassified
413,SP
414,SLF-I
415,AF
416,Unclassified
417,Partial
418,SF
419,FalsePositive
420,CB
421,CC3
422,SLF-I
423,FalsePositive
424,Partial
425,TP
426,CC3
427,CB
428,SLF-I
429,CC4
430,SLF-I
431,Partial
432,PLIC
433,CB
434,CC5
435,SLF-I
436,FalsePositive
437,FalsePositive
438,Unclassified
439,SF
440,SLF-I
441,FalsePositive
442,CC3
443,FalsePositive
444,SLF-II
445,FalsePositive
446,FalsePositive
447,CC3
448,FalsePositive
449,SLF-I
450,FalsePositive
451,Partial
452,SP
453,AF
454,Partial
455,CC4
456,FalsePositive
457,FalsePositive
458,CB
459,Partial
460,FalsePositive
461,TF
462,CB
463,CC2
464,FalsePositive
465,CB
466,Unclassified
467,FalsePositive
468,CC2
469,CC3
470,Partial
471,TF
472,Partial
473,SLF-I
474,FalsePositive
475,Unclassified
476,FalsePositive
477,CB
478,Partial
479,SLF-I
480,SLF-II
481,CB
482,CB
483,SF
484,FalsePositive
485,CC2
486,CB
487,CB
488,CC5
489,CB
490,Unclassified
491,PLIC
492,Partial
493,FalsePositive
494,Partial
495,Unclassified
496,Partial
497,FalsePositive
498,FalsePositive
